akgul2025lynx	arxiv	2512.05325
angelopoulos2024crc	arxiv	2208.02814
angelopoulos2025ltt	arxiv	2110.01052
banino2021pondernet	arxiv	2107.05407
bates2021rcps	arxiv	2101.02703
brier1950verification	skip	Monthly_Weather_Review_78_1_1950
brown2024monkeys	arxiv	2407.21787
chen2025overthinking	arxiv	2412.21187
cheshmi2025earlyrejection	arxiv	2508.01969
clark2018arc	arxiv	1803.05457
cobbe2021verifiers	arxiv	2110.14168
deepseekr1	arxiv	2501.12948
gneiting2007strictly	doi	10.1198/016214506000001437
graves2016adaptive	arxiv	1603.08983
guo2017calibration	arxiv	1706.04599
horvitz1952sampling	doi	10.1080/01621459.1952.10483446
howard2021confidence	doi	10.1214/20-AOS1991
jin2021medqa	arxiv	2009.13081
kadavath2022know	arxiv	2207.05221
kojima2022zeroshot	arxiv	2205.11916
kuhn2023semantic	arxiv	2302.09664
lei2018conformal	arxiv	1604.04173
liu2020fastbert	acl	2020.acl-main.537
liu2025answerconvergence	arxiv	2506.02536
manakul2023selfcheckgpt	arxiv	2303.08896
murphy1973new	skip	Journal_Applied_Meteorology_12_4_1973
nagle2026terminator	arxiv	2603.12529
pal2022medmcqa	arxiv	2203.14371
quach2024conformal	arxiv	2306.10193
qwen3	arxiv	2505.09388
ramdas2023safe	doi	10.1214/23-STS894
schwartz2020righttool	acl	2020.acl-main.593
snell2025scaling	arxiv	2408.03314
sun2026refrain	acl	2026.acl-long.1256
uesato2022process	arxiv	2211.14275
vovk2005algorithmic	skip	Springer_ISBN_0387001522_2005
wang2023selfconsistency	arxiv	2203.11171
wang2024mmlu	arxiv	2406.01574
wang2026conformalthinking	arxiv	2602.03814
waudbysmith2024betting	arxiv	2010.09686
wei2022cot	arxiv	2201.11903
wu2025thoughtcalibration	arxiv	2505.18404
xie2026statistical	arxiv	2602.13935
xin2020deebert	acl	2020.acl-main.204
xiong2024uncertainty	arxiv	2306.13063
yang2026deer	arxiv	2504.15895
yao2023tree	arxiv	2305.10601
zeng2025thinkingoutloud	arxiv	2504.06564
zhai2026adaptive	arxiv	2604.14853
zhang2025selfverification	arxiv	2504.05419
zhou2026overthinking	arxiv	2604.10739
yu2026bpac	arxiv	2601.22446
